period_beginning,period_ending,reporting_period,transport_mode,journey_millions
2013-11-10,2013-12-07,9,Tram,2.60
2013-12-08,2014-01-04,10,Tram,2.00
2014-01-05,2014-02-01,11,Tram,2.40
2014-02-02,2014-03-01,12,Tram,2.40
2014-03-02,2014-03-31,13,Tram,2.80
2014-04-01,2014-04-26,1,Tram,2.20
2014-04-27,2014-05-24,2,Tram,2.40
2014-05-25,2014-06-21,3,Tram,2.30
2014-06-22,2014-07-19,4,Tram,2.50
2014-07-20,2014-08-16,5,Tram,2.00
2014-08-17,2014-09-13,6,Tram,2.30
2014-09-14,2014-10-11,7,Tram,2.60
2014-10-12,2014-11-08,8,Tram,2.40
2014-11-09,2014-12-06,9,Tram,2.60
2014-12-07,2015-01-03,10,Tram,2.10
2015-01-04,2015-01-31,11,Tram,2.40
2015-02-01,2015-02-28,12,Tram,2.40
2015-03-01,2015-03-31,13,Tram,2.50
2015-04-01,2015-05-02,1,Tram,2.10
2015-05-03,2015-05-30,2,Tram,2.00
2015-05-31,2015-06-27,3,Tram,2.10
2015-06-28,2015-07-25,4,Tram,2.20
2015-07-26,2015-08-22,5,Tram,1.80
2015-08-23,2015-09-19,6,Tram,2.00
2015-09-20,2015-10-17,7,Tram,2.20
2015-10-18,2015-11-14,8,Tram,2.20
2015-11-15,2015-12-12,9,Tram,2.30
2015-12-13,2016-01-09,10,Tram,1.80
2016-01-10,2016-02-06,11,Tram,2.10
2016-02-07,2016-03-05,12,Tram,2.20
2016-03-06,2016-03-31,13,Tram,1.90
2016-04-01,2016-04-30,1,Tram,2.40
2016-05-01,2016-05-28,2,Tram,2.40
2016-05-29,2016-06-25,3,Tram,2.30
2016-06-26,2016-07-23,4,Tram,2.40
2016-07-24,2016-08-20,5,Tram,1.80
2016-08-21,2016-09-17,6,Tram,2.20
2016-09-18,2016-10-15,7,Tram,2.50
2016-10-16,2016-11-12,8,Tram,2.20
2016-11-13,2016-12-10,9,Tram,2.10
2016-12-11,2017-01-07,10,Tram,2.10
2017-01-08,2017-02-04,11,Tram,2.40
2017-02-05,2017-03-04,12,Tram,2.20
2017-03-05,2017-03-31,13,Tram,2.40
2017-04-01,2017-04-29,1,Tram,2.10
2017-04-30,2017-05-27,2,Tram,2.30
2017-05-28,2017-06-24,3,Tram,2.20
2017-06-25,2017-07-22,4,Tram,2.40
